Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
5562,#N/A,#N/A,30103,30103,37197,30103
5563,#N/A,#N/A,30103,30103,37197,30103
5567,#N/A,#N/A,30103,30103,37197,30103
5570,#N/A,#N/A,30102,30102,#N/A,#N/A
5583,#N/A,#N/A,30053,30053,#N/A,#N/A
5593,34512,30102,30102,30102,#N/A,#N/A
5607,#N/A,#N/A,30102,30102,#N/A,#N/A
5615,34517,30103,30103,30103,37197,30103
5618,#N/A,#N/A,30103,30103,37197,30103
5631,#N/A,#N/A,30103,30103,37197,30103
5634,34512,30102,30102,30102,#N/A,#N/A
5656,#N/A,#N/A,30102,30102,#N/A,#N/A
5661,34517,30103,30103,30103,37197,30103
5662,#N/A,#N/A,30102,30102,#N/A,#N/A
5664,#N/A,#N/A,30103,30103,37197,30103
5667,#N/A,#N/A,30102,30102,#N/A,#N/A
5672,34517,30103,30103,30103,37197,30103
5706,34517,30103,30103,30103,37197,30103
5712,34512,30102,30102,30102,#N/A,#N/A
5716,34517,30053,30053,30053,37197,30053
5724,#N/A,#N/A,30102,30102,#N/A,#N/A
5725,#N/A,#N/A,30103,30103,37197,30103
5746,#N/A,#N/A,30053,30053,#N/A,#N/A
5751,#N/A,#N/A,30102,30102,#N/A,#N/A
5779,#N/A,#N/A,30102,30102,#N/A,#N/A
5783,#N/A,#N/A,30102,30102,#N/A,#N/A
5787,#N/A,#N/A,30053,30053,#N/A,#N/A
5789,#N/A,#N/A,30053,30053,#N/A,#N/A
5807,34517,30103,30103,30103,37197,30103
5809,#N/A,#N/A,30103,30103,37197,30103
5810,#N/A,#N/A,30053,30053,#N/A,#N/A
5812,#N/A,#N/A,30053,30053,#N/A,#N/A
5828,#N/A,#N/A,30102,30102,#N/A,#N/A
5831,#N/A,#N/A,30102,30102,#N/A,#N/A
5837,#N/A,#N/A,30103,30103,37197,30103
5839,#N/A,#N/A,30102,30102,#N/A,#N/A
