Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
5258,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
5258,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
5258,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
5319,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5319,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5319,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5349,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5349,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5349,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5534,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5534,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5534,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5616,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
5616,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5616,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5676,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
5676,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5676,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5865,38111,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
5865,38111,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
5865,38111,10,13:00,13:00,13:00,13:00,13:00,13:00,13:00,13:00
5884,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5884,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5884,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5891,38111,8,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5891,38111,1,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
5891,38111,10,04:30,04:30,04:30,04:30,04:30,04:30,04:30,04:30
